sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,1.5,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,2.0,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,2.5,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,1.5,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,2.0,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,2.5,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,1.5,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,2.0,3.0
10.0,2,100.0,1.4901573356113973,0.0,1000000.0,1000000.0,0.0,1030212.9302448996,30212.93024489956,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,2.5,3.0
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,1.5,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,2.0,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,2.5,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,1.5,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,2.0,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,2.5,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,1.5,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,2.0,2.5
8.78490127183588,2,100.0,1.2373820078107167,0.0,1000000.0,1000000.0,0.0,1025056.050204083,25056.050204082963,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,2.5,2.5
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,65,1.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,65,2.0,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,65,2.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,70,1.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,70,2.0,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,70,2.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,75,1.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,75,2.0,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,15,20,2.2,20,25,75,2.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,65,1.5,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,65,2.0,3.0
7.599951532143655,2,100.0,1.493721935876513,0.0,1000000.0,1000000.0,0.0,1030285.7448906327,30285.74489063274,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,65,2.5,3.0
